sample_id,task,target_dialect,dialect_text,standard_text,source_text,hypothesis,label,domain,split
MCQA_0056_2,MCQA,PNB,"Bà mẹ của người thuyền trưởng đã kể cho cô bé nghe những gì về biển ?
A. Biển cả mênh mông và những con chim hải âu dũng cảm.
B. Thủy thủ vật lộn với cơn mưa bão.
C. Thuyền trưởng và con chim seo cờ xinh đẹp, biết nghe lời, lại dũng cảm, thông minh, luôn theo ông đi biển.
D. Tất cả đều đúng.","Bà mẹ của người thuyền trưởng đã kể cho cô bé nghe những gì về biển ?
A. Biển cả mênh mông và những con chim hải âu dũng cảm.
B. Thủy thủ vật lộn với cơn mưa bão.
C. Thuyền trưởng và con chim seo cờ xinh đẹp, biết vâng lời, lại dũng cảm, thông minh, luôn theo ông đi biển.
D. Tất cả đều đúng.","Bà mẹ của người thuyền trưởng đã kể cho cô bé nghe những gì về biển ?
A. Biển cả mênh mông và những con chim hải âu dũng cảm.
B. Thủy thủ vật lộn với cơn mưa bão.
C. Thuyền trưởng và con chim seo cờ xinh đẹp, biết vâng lời, lại dũng cảm, thông minh, luôn theo ông đi biển.
D. Tất cả đều đúng.",Tất cả đều đúng.,D,Daily Conversation,train
MCQA_0056_2,MCQA,PNT2,"Bà mẹ của người thuyền trưởng đã kể cho con bé nghe những chi về biển ?
A. Biển cả mênh mông và những con chim hải âu dũng cảm.
B. Thủy thủ vật lộn với cơn mưa bão.
C. Thuyền trưởng và con chim seo cờ xinh đẹp, biết vâng lời, lại dũng cảm, thông minh, luôn theo ông đi biển.
D. Tất cả đều đúng.","Bà mẹ của người thuyền trưởng đã kể cho cô bé nghe những gì về biển ?
A. Biển cả mênh mông và những con chim hải âu dũng cảm.
B. Thủy thủ vật lộn với cơn mưa bão.
C. Thuyền trưởng và con chim seo cờ xinh đẹp, biết vâng lời, lại dũng cảm, thông minh, luôn theo ông đi biển.
D. Tất cả đều đúng.","Bà mẹ của người thuyền trưởng đã kể cho cô bé nghe những gì về biển ?
A. Biển cả mênh mông và những con chim hải âu dũng cảm.
B. Thủy thủ vật lộn với cơn mưa bão.
C. Thuyền trưởng và con chim seo cờ xinh đẹp, biết vâng lời, lại dũng cảm, thông minh, luôn theo ông đi biển.
D. Tất cả đều đúng.",Tất cả đều đúng.,D,Daily Conversation,train
MCQA_0056_2,MCQA,PNT3,"Bà mẹ của người thuyền trưởng đã kể cho cô bé nghe những chi về biển ?
A. Biển cả mênh mông và những con chim hải âu dũng cảm.
B. Thủy thủ vật lộn với cơn mưa bão.
C. Thuyền trưởng và con chim seo cờ xinh đẹp, biết vâng lời, lại dũng cảm, thông minh, luôn theo ông đi biển.
D. Tất cả đều đúng.","Bà mẹ của người thuyền trưởng đã kể cho cô bé nghe những gì về biển ?
A. Biển cả mênh mông và những con chim hải âu dũng cảm.
B. Thủy thủ vật lộn với cơn mưa bão.
C. Thuyền trưởng và con chim seo cờ xinh đẹp, biết vâng lời, lại dũng cảm, thông minh, luôn theo ông đi biển.
D. Tất cả đều đúng.","Bà mẹ của người thuyền trưởng đã kể cho cô bé nghe những gì về biển ?
A. Biển cả mênh mông và những con chim hải âu dũng cảm.
B. Thủy thủ vật lộn với cơn mưa bão.
C. Thuyền trưởng và con chim seo cờ xinh đẹp, biết vâng lời, lại dũng cảm, thông minh, luôn theo ông đi biển.
D. Tất cả đều đúng.",Tất cả đều đúng.,D,Daily Conversation,train
MCQA_0013_3,MCQA,PNB,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,D,Daily Conversation,train
MCQA_0013_3,MCQA,PNT2,"Hoa đạ giúp mẹ một số công việc chi?
A. Chờ mẹ đi mần về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ","Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,D,Daily Conversation,train
MCQA_0013_3,MCQA,PNT3,"Hoa đã giúp mẹ một số công việc chi?
A. Chờ mẹ đi làm về.
B. Học với tập viết chăm chỉ.
C. Viết thư cho ba.
D. Trông em với hát ru em ngủ.","Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,D,Daily Conversation,train
MCQA_0123_0,MCQA,PNB,"Thuyên và Đồng rủ nhau đi chơi, khi bị lạc đường họ đã làm gì?
A. Trách móc nhau vì đã không phân biệt được đường đi.
B. Ghé vào quán ăn để hỏi đường và ăn cho đỡ đói.
C. Tuyệt vọng ôm nhau khóc giữa đường.
D. Nhìn la bàn để xác định lại phương hướng, đường đi.","Thuyên và Đồng rủ nhau đi chơi, khi bị lạc đường họ đã làm như thế nào?
A. Trách móc nhau vì đã không phân biệt được đường đi.
B. Ghé vào quán ăn để hỏi đường và ăn cho đỡ đói.
C. Tuyệt vọng ôm nhau khóc giữa đường.
D. Nhìn la bàn để xác định lại phương hướng, đường đi.","Thuyên và Đồng rủ nhau đi chơi, khi bị lạc đường họ đã làm như thế nào?
A. Trách móc nhau vì đã không phân biệt được đường đi.
B. Ghé vào quán ăn để hỏi đường và ăn cho đỡ đói.
C. Tuyệt vọng ôm nhau khóc giữa đường.
D. Nhìn la bàn để xác định lại phương hướng, đường đi.",Ghé vào quán ăn để hỏi đường và ăn cho đỡ đói.,B,Daily Conversation,train
MCQA_0123_0,MCQA,PNT2,"Thuyên và Đồng rủ chắc đi chơi, khi bị lạc đường họ đạ mần a răng?
A. Trách móc chắc vì đạ nỏ phân biệt được đường đi.
B. Ghé vô quán ăn để hỏi đường và ăn cho đỡ đói.
C. Tuyệt vọng ôm nhau khóc trửa đường.
D. Nhìn la bàn để xác định lại phương hướng, đường đi.","Thuyên và Đồng rủ nhau đi chơi, khi bị lạc đường họ đã làm như thế nào?
A. Trách móc nhau vì đã không phân biệt được đường đi.
B. Ghé vào quán ăn để hỏi đường và ăn cho đỡ đói.
C. Tuyệt vọng ôm nhau khóc giữa đường.
D. Nhìn la bàn để xác định lại phương hướng, đường đi.","Thuyên và Đồng rủ nhau đi chơi, khi bị lạc đường họ đã làm như thế nào?
A. Trách móc nhau vì đã không phân biệt được đường đi.
B. Ghé vào quán ăn để hỏi đường và ăn cho đỡ đói.
C. Tuyệt vọng ôm nhau khóc giữa đường.
D. Nhìn la bàn để xác định lại phương hướng, đường đi.",Ghé vào quán ăn để hỏi đường và ăn cho đỡ đói.,B,Daily Conversation,train
MCQA_0123_0,MCQA,PNT3,"Thuyên và Đồng rủ nhau đi chơi, khi bị lạc đường họ đã làm như răng?
A. Trách móc nhau vì đã không phân biệt được đường đi.
B. Ghé vô quán ăn để hỏi đường và ăn cho đỡ đói.
C. Tuyệt vọng ôm nhau khóc trữa đường.
D. Nhìn la bàn để xác định lại phương hướng, đường đi.","Thuyên và Đồng rủ nhau đi chơi, khi bị lạc đường họ đã làm như thế nào?
A. Trách móc nhau vì đã không phân biệt được đường đi.
B. Ghé vào quán ăn để hỏi đường và ăn cho đỡ đói.
C. Tuyệt vọng ôm nhau khóc giữa đường.
D. Nhìn la bàn để xác định lại phương hướng, đường đi.","Thuyên và Đồng rủ nhau đi chơi, khi bị lạc đường họ đã làm như thế nào?
A. Trách móc nhau vì đã không phân biệt được đường đi.
B. Ghé vào quán ăn để hỏi đường và ăn cho đỡ đói.
C. Tuyệt vọng ôm nhau khóc giữa đường.
D. Nhìn la bàn để xác định lại phương hướng, đường đi.",Ghé vào quán ăn để hỏi đường và ăn cho đỡ đói.,B,Daily Conversation,train
MCQA_0104_4,MCQA,PNB,"Anh Cua bò vào chum nước này. Cô Ong đợi sau cánh cửa... Theo em tác giả đã sử dụng hình ảnh nào dưới đây?
A. So sánh.
B. Nhân hóa.
C. Không có hình ảnh nào.
D. Cả so sánh và nhân hóa.","Anh Cua bò vào chum nước này. Cô Ong đợi sau cánh cửa... Theo em tác giả đã sử dụng hình ảnh nào dưới đây?
A. So sánh.
B. Nhân hóa.
C. Không có hình ảnh nào.
D. Cả so sánh và nhân hóa.","Anh Cua bò vào chum nước này. Cô Ong đợi sau cánh cửa... Theo em tác giả đã sử dụng hình ảnh nào dưới đây?
A. So sánh.
B. Nhân hóa.
C. Không có hình ảnh nào.
D. Cả so sánh và nhân hóa.",Nhân hóa.,B,Daily Conversation,train
